id_review,usuario_id,libro_id,comentario
1,1,1,"Un clásico inolvidable. El realismo mágico en su máxima expresión."
2,4,4,"Mi libro favorito de la infancia. Siempre me hace reflexionar."
3,2,3,"Me dejó pensando mucho. Aterradoramente relevante hoy en día."
4,5,9,"Increíble distopía. Bradbury es un genio."
5,8,10,"Otra joya de García Márquez. Muy poético y conmovedor."
6,3,2,"Un poco denso al principio, pero una obra maestra de la literatura."
7,10,6,"Un análisis psicológico profundo. Raskólnikov es un personaje complejo."
8,7,7,"Me encantó la química entre Elizabeth y Darcy. Un romance perfecto."
9,1,5,"Difícil de leer, muy experimental. Interesante propuesta de Cortázar."
10,4,8,"Un viaje épico. Me costó por el lenguaje, pero vale la pena."
11,2,1,"No logré conectar con la historia, demasiado confuso para mi gusto."
12,9,3,"¡Qué gran libro! El concepto del Gran Hermano es brillante."
